year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,release_date,user_reviews,critics_reviews,popularity,awards_wins,awards_nominations,Golden_Globes_won,Golden_Globes_nominated,BAFTA_won,BAFTA_nominated,Screen_Actors_Guild_won,Screen_Actors_Guild_nominated,Critics_Choice_won,Critics_Choice_nominated,Directors_Guild_won,Directors_Guild_nominated,Producers_Guild_won,Producers_Guild_nominated,Art_Directors_Guild_won,Art_Directors_Guild_nominated,Writers_Guild_won,Writers_Guild_nominated,Costume_Designers_Guild_won,Costume_Designers_Guild_nominated,Online_Film_Television_Association_won,Online_Film_Television_Association_nominated,Online_Film_Critics_Society_won,Online_Film_Critics_Society_nominated,People_Choice_won,People_Choice_nominated,London_Critics_Circle_Film_won,London_Critics_Circle_Film_nominated,American_Cinema_Editors_won,American_Cinema_Editors_nominated,Hollywood_Film_won,Hollywood_Film_nominated,Austin_Film_Critics_Association_won,Austin_Film_Critics_Association_nominated,Denver_Film_Critics_Society_won,Denver_Film_Critics_Society_nominated,Boston_Society_of_Film_Critics_won,Boston_Society_of_Film_Critics_nominated,New_York_Film_Critics_Circle_won,New_York_Film_Critics_Circle_nominated,Los_Angeles_Film_Critics_Association_won,Los_Angeles_Film_Critics_Association_nominated,release_date.year,release_date.month,release_date.day-of-month,release_date.day-of-week
2018,Aquaman,tt1477834,PG-13,143,Action|Adventure|Fantasy|Sci-Fi,7.5,55,,131534,292915619,,2364,330,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,,
2018,Vice,tt6266538,R,132,Biography|Comedy|Drama|History,7.1,61,,15625,37079233,,278,142,3,4,33,1,6,0,6,0,2,3,9,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,,12,,
2018,Spider-Man: Into the Spider-Verse,tt4633694,PG,117,Animation|Action|Adventure|Comedy|Family|Sci-Fi,8.7,87,,79652,150337484,,812,304,5,11,18,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6,7,0,2,0,0,1,1,1,1,,12,,
2018,Bohemian Rhapsody,tt1727824,PG-13,134,Biography|Drama|Music,8.3,49,,185804,199469670,,2177,364,6,2,19,2,2,0,7,0,2,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,11,,
2018,The Favourite,tt5083738,R,119,Biography|Comedy|Drama|History,7.9,90,,24938,21872957,,428,267,7,7,75,1,5,0,12,0,3,2,14,0,0,0,1,0,1,0,0,0,1,0,0,0,8,0,0,0,10,0,1,2,2,1,4,0,7,0,3,0,0,1,3,,12,,
2018,Green Book,tt6966692,PG-13,130,Biography|Comedy|Drama|Music,8.3,70,,24034,39457456,,311,162,8,6,26,3,5,0,4,0,2,1,7,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,,11,,
2018,Bumblebee,tt5090566,PG-13,114,Action|Adventure|Sci-Fi,7.3,66,,34842,110833190,,582,208,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,,
2018,Mary Poppins Returns,tt5028340,PG,130,Comedy|Family|Fantasy|Musical,7.2,66,,28172,152999985,,622,230,11,0,23,0,4,0,3,0,1,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,12,,
2018,Roma,tt6155172,R,135,Drama,8.1,96,,50290,?,,450,286,12,19,57,2,3,0,7,0,0,4,8,0,1,0,1,0,1,0,1,0,0,0,0,4,7,0,0,0,6,0,1,1,1,2,7,0,5,1,1,3,3,2,4,,11,,
2018,The Mule,tt7959026,R,116,Crime|Drama|Thriller,7.2,58,,10875,92876648,,201,77,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,,
2018,Black Mirror: Bandersnatch,tt9495224,TV-MA,90,Drama|Mystery|Sci-Fi|Thriller,7.5,?,,68410,?,,801,74,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,,
2018,A Star Is Born,tt1517451,R,136,Drama|Music|Romance,8.1,88,,137427,203984749,,1766,386,18,5,44,1,5,0,7,0,4,2,9,0,2,0,1,0,1,0,1,0,1,0,0,1,5,0,0,0,0,0,1,1,1,0,2,0,4,0,0,0,0,0,0,,10,,
2018,Bad Times at the El Royale,tt6628394,R,141,Crime|Drama|Mystery|Thriller,7.2,60,,54191,17839115,,526,252,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,,
2018,Avengers: Infinity War,tt4154756,PG-13,149,Action|Adventure|Fantasy|Sci-Fi,8.5,68,,568814,678815482,,3703,554,22,2,9,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,,4,,
2018,Beautiful Boy,tt1226837,R,120,Biography|Drama,7.3,63,,13786,7622907,,151,140,23,2,6,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,,10,,
2018,Venom,tt1270797,PG-13,112,Action|Sci-Fi,6.8,35,,213833,213480401,,3071,332,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,,
2018,Ralph Breaks the Internet,tt5848272,PG,112,Animation|Adventure|Comedy|Family|Fantasy,7.3,71,,37586,190947095,,434,204,26,0,10,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,,11,,
2018,Holmes & Watson,tt1255919,PG-13,90,Adventure|Comedy|Crime|Mystery,3.4,24,,7083,30229843,,440,55,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,,
2018,Crazy Rich Asians,tt3104988,PG-13,120,Comedy|Romance,7.0,74,,71286,174532921,,795,216,28,2,13,0,2,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,,8,,
2018,A Simple Favor,tt7040874,R,117,Comedy|Crime|Drama|Mystery|Thriller,6.9,67,,59350,53542417,,486,234,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,,
2018,If Beale Street Could Talk,tt7125860,R,119,Crime|Drama|Romance,7.9,87,,4586,8578130,,55,133,30,18,39,1,3,0,2,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,3,6,0,0,0,3,0,0,0,0,5,8,0,2,4,5,1,1,2,3,,12,,
2018,A Quiet Place,tt6644200,PG-13,90,Drama|Horror|Mystery|Sci-Fi|Thriller,7.6,82,,259665,188024361,,2269,493,32,3,16,0,1,0,1,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,1,0,0,0,4,0,0,0,0,0,0,,4,,
2018,Fantastic Beasts: The Crimes of Grindelwald,tt4123430,PG-13,134,Adventure|Family|Fantasy,6.8,52,,109632,158603422,,1124,277,33,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,,
2018,BlacKkKlansman,tt7349662,R,135,Biography|Crime|Drama,7.6,83,,83979,48271960,,521,368,34,1,35,0,4,0,5,0,3,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,3,0,1,1,1,0,1,0,5,0,0,0,0,0,0,,8,,
2018,Mary Queen of Scots,tt2328900,R,124,Biography|Drama|History,6.5,61,,3677,15576645,,118,112,35,1,8,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,12,,
