year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,release_date,user_reviews,critics_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Director_nominated,Oscar_Best_Actor_won,Oscar_Best_Actor_nominated,Oscar_Best_Actress_won,Oscar_Best_Actress_nominated,Oscar_Best_Supporting_Actor_won,Oscar_Best_Supporting_Actor_nominated,Oscar_Best_Supporting_Actress_won,Oscar_Best_Supporting_Actress_nominated,Oscar_Best_AdaScreen_won,Oscar_Best_AdaScreen_nominated,Oscar_Best_OriScreen_won,Oscar_Best_OriScreen_nominated,Oscar_nominated,Golden_Globes_won,Golden_Globes_nominated,BAFTA_won,BAFTA_nominated,Screen_Actors_Guild_won,Screen_Actors_Guild_nominated,Critics_Choice_won,Critics_Choice_nominated,Directors_Guild_won,Directors_Guild_nominated,Producers_Guild_won,Producers_Guild_nominated,Art_Directors_Guild_won,Art_Directors_Guild_nominated,Writers_Guild_won,Writers_Guild_nominated,Costume_Designers_Guild_won,Costume_Designers_Guild_nominated,Online_Film_Television_Association_won,Online_Film_Television_Association_nominated,Online_Film_Critics_Society_won,Online_Film_Critics_Society_nominated,People_Choice_won,People_Choice_nominated,London_Critics_Circle_Film_won,London_Critics_Circle_Film_nominated,American_Cinema_Editors_won,American_Cinema_Editors_nominated,Hollywood_Film_won,Hollywood_Film_nominated,Austin_Film_Critics_Association_won,Austin_Film_Critics_Association_nominated,Denver_Film_Critics_Society_won,Denver_Film_Critics_Society_nominated,Boston_Society_of_Film_Critics_won,Boston_Society_of_Film_Critics_nominated,New_York_Film_Critics_Circle_won,New_York_Film_Critics_Circle_nominated,Los_Angeles_Film_Critics_Association_won,Los_Angeles_Film_Critics_Association_nominated,release_date.year,release_date.month,release_date.day-of-month,release_date.day-of-week
2001,Kate & Leopold,tt0035423,PG-13,118,Comedy|Fantasy|Romance,6.4,44,,73080,47121859,,326,124,2953,1,4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,,
2000,Chicken Run,tt0120630,TV-PG::(tv rating),84,Animation|Adventure|Comedy|Drama|Family,7.0,88,,160629,106834564,,376,188,3375,5,10,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,6,,
2005,Fantastic Four,tt0120667,PG-13,106,Action|Adventure|Fantasy|Sci-Fi,5.7,40,,292809,154696080,,1010,280,2003,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,
2002,Frida,tt0120679,R,123,Biography|Drama|Romance,7.4,61,,73106,25885000,,280,128,2386,2,12,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,6,1,2,1,4,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,,
2001,The Lord of the Rings: The Fellowship of the Ring,tt0120737,PG-13,178,Adventure|Drama|Fantasy,8.8,92,,1470728,315544750,,5101,323,144,24,64,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,13,0,4,5,14,1,2,3,5,0,1,0,0,0,1,0,0,0,0,13,22,1,8,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,3,,12,,
2000,Mission: Impossible II,tt0120755,PG-13,123,Action|Adventure|Thriller,6.1,59,,285007,215409889,,1454,256,1496,1,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,
2002,Resident Evil,tt0120804,R,100,Action|Horror|Sci-Fi,6.7,33,,227971,40119709,,1128,233,1834,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,
2000,X-Men,tt0120903,PG-13,104,Action|Adventure|Sci-Fi,7.4,64,,524209,157299717,,1409,294,868,0,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,
2000,The Emperor's New Groove,tt0120917,G,78,Animation|Adventure|Comedy|Family|Fantasy,7.3,70,,155938,89302687,,305,147,2096,1,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,,
2005,Corpse Bride,tt0121164,PG,77,Animation|Drama|Family|Fantasy|Musical|Romance,7.4,83,,219647,53359111,,493,264,3774,0,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,9,,
